feature,importance,rank
Fwd Seg Size Min,0.11477690001282889,1
Idle Max,0.10148604322808943,2
Idle Mean,0.062072894957040124,3
Protocol,0.05079445308426809,4
Idle Min,0.050072287050622874,5
FWD Init Win Bytes,0.04021261510047862,6
FIN Flag Count,0.03458197428653728,7
Bwd Packet Length Min,0.029593763199923687,8
Subflow Fwd Packets,0.025780455760530476,9
Bwd Init Win Bytes,0.023306411235282272,10
Bwd Packet Length Mean,0.020508837373806533,11
Packet Length Std,0.019290415853361,12
Bwd Segment Size Avg,0.018739260293094345,13
ACK Flag Count,0.018568345859231915,14
Packet Length Max,0.017941136596751856,15
Bwd Packet Length Max,0.01643282411157434,16
Fwd Act Data Packets,0.016079605558265035,17
Flow Duration,0.015424824741359616,18
Fwd Header Length,0.015110542305219845,19
Subflow Bwd Bytes,0.013943826165864493,20
Total Length of Bwd Packet,0.012929165511250822,21
Flow IAT Min,0.01235778170353205,22
Flow Packets/s,0.012174826783681354,23
Avg Packet Size,0.012151349960166478,24
Bwd Header Length,0.0119496592377066,25
Packet Length Mean,0.011697145157893146,26
Packet Length Min,0.011128912139641704,27
Bwd Packets/s,0.01106753942569304,28
Fwd IAT Total,0.011017957680878675,29
Packet Length Variance,0.010753658938930639,30
Fwd Packets/s,0.010633429592257305,31
SYN Flag Count,0.00926983069040867,32
Flow IAT Max,0.009160879600574963,33
Flow IAT Mean,0.009120882245003242,34
Flow Bytes/s,0.008640872967705675,35
Fwd Packet Length Max,0.007733074031492037,36
Fwd Packet Length Mean,0.007723944729069999,37
Fwd Packet Length Min,0.007719062110797256,38
Fwd IAT Mean,0.007380639166325676,39
Fwd IAT Min,0.0073402312644714985,40
Fwd IAT Max,0.007304906535008381,41
Total Bwd packets,0.007080488325636178,42
Down/Up Ratio,0.007049206113678986,43
Subflow Fwd Bytes,0.006753561799530309,44
Fwd Segment Size Avg,0.006677553531189793,45
Total Fwd Packet,0.0064812436666486254,46
Fwd PSH Flags,0.0061134733384184846,47
Idle Std,0.005563901747996346,48
Total Length of Fwd Packet,0.0051386001033778385,49
Bwd IAT Total,0.00476820131584409,50
Flow IAT Std,0.0037883259113306055,51
RST Flag Count,0.003687872886107843,52
PSH Flag Count,0.00366726661819281,53
Bwd Packet Length Std,0.0032839759080091806,54
Fwd Packet Length Std,0.0031160777465400434,55
Bwd IAT Max,0.002813200109876255,56
Fwd IAT Std,0.002364503150057212,57
Bwd IAT Min,0.002032765162840692,58
Bwd IAT Mean,0.002031661496978735,59
Bwd IAT Std,0.0016348928070406394,60
Bwd Packet/Bulk Avg,0.001006489569705212,61
Bwd Bulk Rate Avg,0.0009735724443801553,62
Fwd URG Flags,0.0,63
Bwd URG Flags,0.0,64
Bwd PSH Flags,0.0,65
ECE Flag Count,0.0,66
URG Flag Count,0.0,67
CWE Flag Count,0.0,68
Fwd Packet/Bulk Avg,0.0,69
Fwd Bulk Rate Avg,0.0,70
Bwd Bytes/Bulk Avg,0.0,71
Fwd Bytes/Bulk Avg,0.0,72
Subflow Bwd Packets,0.0,73
Active Min,0.0,74
Active Max,0.0,75
Active Std,0.0,76
Active Mean,0.0,77
